Company Name,URL,Twitter,Headquarters,Sub Category,Landscape name,Category,Domain
hatchbuck,http://www.hatchbuck.com/,@gethatchbuck,"St. Louis, MO",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.hatchbuck.com/
mindfire,http://mindfireinc.com/,@MindFireInc,"Irvine, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://mindfireinc.com/
whatsnexx,http://whatsnexx.com/,@whatsnexx,"Montreal, CAN",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://whatsnexx.com/
attentive.ly,https://attentive.ly/,@attentive_ly,"Washington, DC",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://attentive.ly/
signal engage,http://www.signalengage.com/,@signalengage,"Chicago, IL",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.signalengage.com/
autopilot,https://autopilothq.com/,@autopilotus,"San Francisco, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://autopilothq.com/
calliduscloud,http://calliduscloud.com/,@CallidusCloud,"Pleasanton, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://calliduscloud.com/
righton interactive,http://www.rightoninteractive.com/,@roi_marketing,"Indianapolis, IN",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.rightoninteractive.com/
spectate,http://spectate.com/,@TeamSpectate,"Atlanta, GA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://spectate.com/
I presso,https://ipresso.pl/,@iPresso1,POL,Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://ipresso.pl/
Orbtr,https://orbtr.net,@WPORBTR,"Denver, CO",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://orbtr.net
blueshift,http://getblueshift.com/,@blueshiftlabs,"San Francisco, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://getblueshift.com/
mineful,http://mineful.com/,@mineful,"Chicago, IL",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://mineful.com/
contentserv,http://www.contentserv.com/,@CONTENTSERV,GER,Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.contentserv.com/
v12 group,http://www.v12groupinc.com/,@V12Group,"Red Bank, NJ",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.v12groupinc.com/
jumplead,http://jumplead.com/,@JumpleadApp,Unknown,Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://jumplead.com/
etrigue,http://www.etrigue.com/,@etrigue,"San Jose, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.etrigue.com/
emarketeer,http://www.emarketeer.com/,@emarketeer,"Santa Cruz, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.emarketeer.com/
inboundio,http://www.inboundio.com/,@InBoundio,"San Francisco, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.inboundio.com/
prospecteer,http://www.prospecteer.com/,@Prospecteer,EU,Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.prospecteer.com/
vbout,https://www.vbout.com/,@vboutcom,"New York, NY",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://www.vbout.com/
rezora,http://www.rezora.com/,@rezora,"Boulder, CO",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.rezora.com/
strongview,http://www.strongview.com/,@StrongView,"San Francisco, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.strongview.com/
leadsius,http://www.leadsius.com/,@Leadsius,"Stockholm, SWE",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.leadsius.com/
integrate,https://www.integrate.com/,@integrate,"Scottsdale, AZ",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://www.integrate.com/
emarsys,http://www.emarsys.com/en/,@Emarsys,"London, UK",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.emarsys.com/en/
mobileROI,http://www.mobileroi.com/,@MobileROI,"New York, NY",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.mobileroi.com/
zeta,http://www.zetainteractive.com/,@ZetaInteractive,"New York, NY",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.zetainteractive.com/
intercom,https://www.intercom.io/,@intercom,"San Francisco, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://www.intercom.io/
rightwave,http://www.rightwave.com/rwi/index.html,@RightWaveInc,Cali,Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.rightwave.com/rwi/index.html
interakt,http://interakt.co/,@InteraktApp,"Gurgaon, IND",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://interakt.co/
venntive,http://venntive.com/,@Venntive,"San Francisco, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://venntive.com/
b-kin,http://www.b-kin.com/en/,@Bkin,"Bilbao, SPA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.b-kin.com/en/
automatr,http://automatr.com/,@VolacciAutomatr,"Austin, TX",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://automatr.com/
spokal,http://www.getspokal.com/,@getspokal,"Vancouver, CAN",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.getspokal.com/
resulticks,http://www.resulticks.com/,@Resulticks,"San Francisco, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.resulticks.com/
quickpivot,http://www.quickpivot.com/,@QuickPivot,"Boston, MA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.quickpivot.com/
plumb5,http://www.plumb5.com/,@plumb_five,"Bangalore, IND",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.plumb5.com/
skymosity,http://www.skymosity.com/,@skymosity,"San Rafael, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.skymosity.com/
leadsberry,http://www.leadsberry.com/,@Leadsberry,"Las Vegas, NV",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.leadsberry.com/
target360,http://www.target360.com/,@target360,UK,Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.target360.com/
clickdimensions,http://www.clickdimensions.com/,@ClickDimensions,"Atlanta, GA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.clickdimensions.com/
makesbridge,http://www.makesbridge.com/,@makesbridge,"Saratoga, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.makesbridge.com/
leadsquared,http://www.leadsquared.com/,@LeadSquared,"Bangalore, IND",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.leadsquared.com/
selligent,https://www.selligent.com/,@selligent,"Brussels, BEL",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://www.selligent.com/
sharpSpring,http://www.sharpspring.com/,@sharpspring,"Gainesville,FL",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.sharpspring.com/
net results,http://www.net-results.com/,@NetResults,"Golden, CO",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.net-results.com/
envoke,https://envoke.com/,@EnvokeMktg,"Toronto, CAN",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://envoke.com/
leadliason,http://www.leadliaison.com/,@leadliaison,US,Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.leadliaison.com/
sales engine,http://www.salesenginemedia.com/,@SalesEngine_Int,"Austin, TX",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.salesenginemedia.com/
7sheep,https://www.7sheep.net/,@7sheepnet,"Vienna, AUT",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://www.7sheep.net/
mdc dot,http://mdcdot.com/,@mdcdot,"Waxahachie, TX",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://mdcdot.com/
lead life,http://leadlife.com/,@LeadLife,"Atlanta, GA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://leadlife.com/
contactability,https://www.contactability.com/,@_contactability,"Columbus, OH",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://www.contactability.com/
boingnet,http://www.boingnet.com/,@boingnet,"Rockland, MA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.boingnet.com/
fanbridge,https://www.fanbridge.com/,@FanBridge,"New York, NY",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://www.fanbridge.com/
campaignchain,http://www.campaignchain.com/,@campaignchain,Unknown,Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.campaignchain.com/
greenrope,http://www.greenrope.com/,@GreenRope,"San Diego, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.greenrope.com/
edatis,http://edatis.com/en/,@edatis,"Paris, FRA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://edatis.com/en/
simplycast,http://www.simplycast.com/,@simplycast,"Dartmouth, CAN",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.simplycast.com/
activecampaign,http://www.activecampaign.com/,@ActiveCampaign,"Chicago, IL",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.activecampaign.com/
campaigndock,http://campaigndock.com/en/,@campaigndock,"Ghent, BEL",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://campaigndock.com/en/
miodatos,http://www.miodatos.com/,@MioDatos,"San Diego, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.miodatos.com/
everlytic,http://www.everlytic.com/,@Everlytic,"Johannesburg, SAF",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.everlytic.com/
acquia,https://www.acquia.com/,@acquia,"Boston, MA",Web Content/Experience Management,Backbone Platforms,MarTech - Backbone Platforms - Web Content/Experience Management,https://www.acquia.com/
episerver,http://www.episerver.com/,@episerver,"Stockholm, SWE",Web Content/Experience Management,Backbone Platforms,MarTech - Backbone Platforms - Web Content/Experience Management,http://www.episerver.com/
radiant,http://radiantcms.org/,@radiantcms,Unknown,Web Content/Experience Management,Backbone Platforms,MarTech - Backbone Platforms - Web Content/Experience Management,http://radiantcms.org/
dynamicweb,http://www.dynamicwebusa.com/,@DynamicwebNA,"Los Angeles, CA",Web Content/Experience Management,Backbone Platforms,MarTech - Backbone Platforms - Web Content/Experience Management,http://www.dynamicwebusa.com/
weebly,http://www.weebly.com/,@weebly,"San Francisco, CA",Web Content/Experience Management,Backbone Platforms,MarTech - Backbone Platforms - Web Content/Experience Management,http://www.weebly.com/
devhub,http://www.devhub.com/,@DevHub,Unknown,Web Content/Experience Management,Backbone Platforms,MarTech - Backbone Platforms - Web Content/Experience Management,http://www.devhub.com/
dnn,http://www.dnnsoftware.com/,@DNNCorp,"Mountain View, CA",Web Content/Experience Management,Backbone Platforms,MarTech - Backbone Platforms - Web Content/Experience Management,http://www.dnnsoftware.com/
opentext,http://www.opentext.com/,@OpenText,"Waterloo, CAN",Web Content/Experience Management,Backbone Platforms,MarTech - Backbone Platforms - Web Content/Experience Management,http://www.opentext.com/
wordpress,https://wordpress.com/,@WordPress,"San Francisco, CA",Web Content/Experience Management,Backbone Platforms,MarTech - Backbone Platforms - Web Content/Experience Management,https://wordpress.com/
